,P(H),P(D|H),P(D),P(H|D)
0,0,0,1.43E-18,0
1,0.009901,4.01E-29,1.43E-18,2.78E-13
2,0.019802,2.61E-25,1.43E-18,3.62E-09
3,0.029703,2.99E-23,1.43E-18,6.23E-07
4,0.039604,6.54E-22,1.43E-18,1.81E-05
5,0.049505,5.73E-21,1.43E-18,0.000199
6,0.059406,2.81E-20,1.43E-18,0.00117
7,0.069307,9.19E-20,1.43E-18,0.004463
8,0.079208,2.23E-19,1.43E-18,0.012366
9,0.089109,4.29E-19,1.43E-18,0.026767
10,0.09901,6.86E-19,1.43E-18,0.047563
11,0.108911,9.42E-19,1.43E-18,0.071875
12,0.118812,1.14E-18,1.43E-18,0.094807
13,0.128713,1.23E-18,1.43E-18,0.111327
14,0.138614,1.22E-18,1.43E-18,0.118162
15,0.148515,1.10E-18,1.43E-18,0.114733
16,0.158416,9.27E-19,1.43E-18,0.102899
17,0.168317,7.28E-19,1.43E-18,0.085909
18,0.178218,5.38E-19,1.43E-18,0.067196
19,0.188119,3.76E-19,1.43E-18,0.049504
20,0.19802,2.49E-19,1.43E-18,0.034501
21,0.207921,1.57E-19,1.43E-18,0.022832
22,0.217822,9.43E-20,1.43E-18,0.014393
23,0.227723,5.43E-20,1.43E-18,0.008665
24,0.237624,3.00E-20,1.43E-18,0.004993
25,0.247525,1.59E-20,1.43E-18,0.00276
26,0.257426,8.12E-21,1.43E-18,0.001465
27,0.267327,3.99E-21,1.43E-18,0.000748
28,0.277228,1.89E-21,1.43E-18,0.000368
29,0.287129,8.67E-22,1.43E-18,0.000174
30,0.29703,3.83E-22,1.43E-18,7.98E-05
31,0.306931,1.64E-22,1.43E-18,3.52E-05
32,0.316832,6.77E-23,1.43E-18,1.50E-05
33,0.326733,2.70E-23,1.43E-18,6.19E-06
34,0.336634,1.05E-23,1.43E-18,2.47E-06
35,0.346535,3.91E-24,1.43E-18,9.49E-07
36,0.356436,1.41E-24,1.43E-18,3.53E-07
37,0.366337,4.95E-25,1.43E-18,1.27E-07
38,0.376238,1.68E-25,1.43E-18,4.42E-08
39,0.386139,5.49E-26,1.43E-18,1.49E-08
40,0.39604,1.74E-26,1.43E-18,4.83E-09
41,0.405941,5.33E-27,1.43E-18,1.52E-09
42,0.415842,1.58E-27,1.43E-18,4.59E-10
43,0.425743,4.50E-28,1.43E-18,1.34E-10
44,0.435644,1.24E-28,1.43E-18,3.79E-11
45,0.445545,3.30E-29,1.43E-18,1.03E-11
46,0.455446,8.44E-30,1.43E-18,2.69E-12
47,0.465347,2.08E-30,1.43E-18,6.79E-13
48,0.475248,4.94E-31,1.43E-18,1.64E-13
49,0.485149,1.13E-31,1.43E-18,3.83E-14
50,0.49505,2.47E-32,1.43E-18,8.55E-15
51,0.50495,5.17E-33,1.43E-18,1.83E-15
52,0.49505,1.04E-33,1.43E-18,3.61E-16
53,0.485149,2.00E-34,1.43E-18,6.79E-17
54,0.475248,3.67E-35,1.43E-18,1.22E-17
55,0.465347,6.42E-36,1.43E-18,2.09E-18
56,0.455446,1.07E-36,1.43E-18,3.41E-19
57,0.445545,1.69E-37,1.43E-18,5.28E-20
58,0.435644,2.53E-38,1.43E-18,7.73E-21
59,0.425743,3.59E-39,1.43E-18,1.07E-21
60,0.415842,4.80E-40,1.43E-18,1.40E-22
61,0.405941,6.05E-41,1.43E-18,1.72E-23
62,0.39604,7.14E-42,1.43E-18,1.98E-24
63,0.386139,7.89E-43,1.43E-18,2.13E-25
64,0.376238,8.13E-44,1.43E-18,2.14E-26
65,0.366337,7.78E-45,1.43E-18,2.00E-27
66,0.356436,6.89E-46,1.43E-18,1.72E-28
67,0.346535,5.62E-47,1.43E-18,1.36E-29
68,0.336634,4.21E-48,1.43E-18,9.92E-31
69,0.326733,2.87E-49,1.43E-18,6.57E-32
70,0.316832,1.78E-50,1.43E-18,3.94E-33
71,0.306931,9.90E-52,1.43E-18,2.13E-34
72,0.29703,4.94E-53,1.43E-18,1.03E-35
73,0.287129,2.19E-54,1.43E-18,4.41E-37
74,0.277228,8.55E-56,1.43E-18,1.66E-38
75,0.267327,2.91E-57,1.43E-18,5.44E-40
76,0.257426,8.52E-59,1.43E-18,1.54E-41
77,0.247525,2.13E-60,1.43E-18,3.69E-43
78,0.237624,4.46E-62,1.43E-18,7.43E-45
79,0.227723,7.74E-64,1.43E-18,1.23E-46
80,0.217822,1.09E-65,1.43E-18,1.66E-48
81,0.207921,1.22E-67,1.43E-18,1.77E-50
82,0.19802,1.05E-69,1.43E-18,1.46E-52
83,0.188119,6.89E-72,1.43E-18,9.08E-55
84,0.178218,3.27E-74,1.43E-18,4.09E-57
85,0.168317,1.09E-76,1.43E-18,1.28E-59
86,0.158416,2.40E-79,1.43E-18,2.67E-62
87,0.148515,3.33E-82,1.43E-18,3.46E-65
88,0.138614,2.68E-85,1.43E-18,2.60E-68
89,0.128713,1.14E-88,1.43E-18,1.03E-71
90,0.118812,2.29E-92,1.43E-18,1.90E-75
91,0.108911,1.83E-96,1.43E-18,1.40E-79
92,0.09901,4.70E-101,1.43E-18,3.28E-84
93,0.089109,2.90E-106,1.43E-18,1.81E-89
94,0.079208,2.70E-112,1.43E-18,1.51E-95
95,0.069307,2.00E-119,1.43E-18,9.60E-103
96,0.059406,3.50E-128,1.43E-18,1.40E-111
97,0.049505,1.70E-139,1.43E-18,5.90E-123
98,0.039604,1.90E-155,1.43E-18,5.20E-139
99,0.029703,8.70E-183,1.43E-18,1.80E-166
100,0.019802,0,1.43E-18,0